ID,Name,Cases,Cases_Percentage,Cases_Percentage_mapped,testing,population,pop_density,pop_density_corrected,ethnicity_Latin_American,ethnicity_South_Asian,ethnicity_Chinese,ethnicity_Black,ethnicity_Filipino,ethnicity_Arab,ethnicity_Southeast_Asian,ethnicity_West_Asian,ethnicity_Korean,ethnicity_Japanese,ethnicity_Not_visible_minority,ethnicity_visible_minority_percentage,ethnicity_visible_minority_percentage_mapped,ethnicity_not_visible_minority_percentage,Median_Household_income,Median_Household_income_corrected,Median_Household_income_corrected_inverted,Poverty_percentage,Poverty_percentage_mapped,Edu_No_Education,Edu_Secondary_school_diploma,Edu_College,Edu_University,Edu_highschool_or_below_percentage,Edu_highschool_or_below_percentage_mapped,house_Single-detached_houses,house_Apartments_greater_than_5_story,house_Semi-detached_house,house_Row_house,house_Apartment_or_flat_in_a_duplex,house_Apartment_in_fewer_than_five_storeys,house_Other_single-attached_house,house_Movable_dwelling,average_household_size,average_household_size_corrected,apartments_percentage,apartments_percentage_mapped
62,East End-Danforth,790,0.045691151,0.165604072,0.26644465,"17,290","8,038",0.161687577,275,"1,700","1,325","1,285",685,145,95,155,190,165,"14,535",0.29287,0.21229,0.70713,63526,0.177641047,0.822358953,0.18,0.361823362,2290,3915,3155,6860,0.382552404,0.36562029,0.1928,0.2271,0.2124,0.0648,0.0528,0.244,0.0044,0.0005,2.29,0.394736842,0.5239,0.501158139
9,Edenbridge-Humber Valley,776,0.059304547,0.256073455,0.241576221,"13,085","2,840",0.041588688,675,390,370,795,200,100,55,55,270,100,"11,980",0.2008,0.10432,0.7992,71646,0.223646191,0.776353809,0.105,0.148148148,1725,3175,2055,5190,0.403458213,0.40196773,0.4085,0.3845,0.0136,0.0208,0.0064,0.1655,0,0,2.43,0.468421053,0.5564,0.535375869
138,Eglinton East,1861,0.102959889,0.546190036,0.231480089,"18,075","7,051",0.138883113,400,"6,490",895,"4,130","2,970",240,195,555,40,65,"4,880",0.76606,0.76722,0.23394,46495,0.081149222,0.918850778,0.235,0.518518519,3925,5645,3305,3650,0.579122542,0.707382778,0.1939,0.6273,0.0152,0.0644,0.0739,0.0246,0.0013,0,2.81,0.668421053,0.7258,0.713729206
5,Elms-Old Rexdale,959,0.12552356,0.696139498,0.240479979,"7,640","3,306",0.052355537,765,840,105,"2,930",465,40,370,285,105,15,"3,085",0.65741,0.63981,0.34259,50846,0.105800501,0.894199499,0.204,0.43019943,1870,2620,1380,1130,0.641428571,0.815709831,0.3075,0.427,0.0217,0.1599,0.0621,0.0202,0,0,2.93,0.731578947,0.5093,0.485786481
32,Englemount-Lawrence,2171,0.127033353,0.706173,0.274295778,"17,090","6,466",0.125366789,550,365,390,"2,305","3,950",90,215,180,175,25,"13,030",0.38754,0.32332,0.61246,49762,0.099658927,0.900341073,0.191,0.393162393,2675,4340,2635,5880,0.451706375,0.48585337,0.231,0.3675,0.0036,0.0321,0.0619,0.3044,0,0,2.65,0.584210526,0.7338,0.722152032
11,Eringate-Centennial-West Deane,799,0.050235775,0.195805891,0.202899816,"15,905","2,171",0.026131559,400,"1,275",790,975,445,145,110,125,390,100,"13,395",0.26198,0.17607,0.73802,80894,0.276042198,0.723957802,0.091,0.108262108,2435,4225,3035,4915,0.455852156,0.493061344,0.5717,0.26,0.0524,0.0881,0.0182,0.0109,0.0007,0,2.7,0.610526316,0.2891,0.2539482
13,Etobicoke West Mall,890,0.091095189,0.467341811,0.232701679,"9,770","6,582",0.128046949,445,"1,165",335,790,635,170,155,290,295,30,"6,950",0.38277,0.31772,0.61723,56010,0.13505796,0.86494204,0.168,0.327635328,1730,2715,1765,2705,0.498597869,0.567380268,0.2105,0.6892,0.0207,0.0502,0.0131,0.012,0.0022,0,2.5,0.505263158,0.7143,0.701621394
44,Flemingdon Park,1971,0.112339698,0.608524632,0.23099514,"17,545","9,026",0.184515145,390,"7,650","1,015","2,130","2,270",370,230,"2,190",250,45,"4,695",0.7789,0.78228,0.2211,46554,0.081483496,0.918516504,0.308,0.726495726,3825,4850,2740,4910,0.531393568,0.624399813,0,0.8206,0.023,0.0722,0.0006,0.0824,0,0,2.8,0.663157895,0.9036,0.900926511
102,Forest Hill North,620,0.058407913,0.250114771,0.296079383,"10,615","8,054",0.162057254,420,170,265,500,"1,595",65,20,165,115,55,"9,100",0.27025,0.18576,0.72975,61596,0.166706326,0.833293674,0.155,0.290598291,880,2190,1440,5320,0.312309257,0.243493537,0.2697,0.6294,0.0028,0.0055,0.0202,0.0706,0,0,2.33,0.415789474,0.7202,0.707833228
101,Forest Hill South,241,0.026025918,0.034916511,0.255749088,"9,260","4,380",0.077170121,140,245,460,205,335,40,75,90,45,35,"8,820",0.1592,0.05553,0.8408,78269,0.261169845,0.738830155,0.112,0.168091168,690,1605,980,5575,0.259322034,0.151368428,0.3404,0.4091,0.0131,0.0081,0.0141,0.2121,0,0,2.14,0.315789474,0.6353,0.618445989
